Local Date,State,Outage_status
10/8/2012,VT,1
10/3/2012,VT,1
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/26/2012,VT,0
9/25/2012,VT,0
9/21/2012,VT,1
9/16/2012,VT,0
9/7/2012,VT,0
9/7/2012,VT,1
9/7/2012,VT,0
9/7/2012,VT,1
9/7/2012,VT,1
9/7/2012,VT,1
9/7/2012,VT,1
9/6/2012,VT,1
9/5/2012,VT,1
8/30/2012,VT,1
8/30/2012,VT,1
8/30/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
8/29/2012,VT,1
8/28/2012,VT,1
8/27/2012,VT,1
8/27/2012,VT,1
8/26/2012,VT,1
8/23/2012,VT,1
8/20/2012,VT,1
8/16/2012,VT,0
8/16/2012,VT,1
8/12/2012,VT,0
8/9/2012,VT,0
8/9/2012,VT,1
8/9/2012,VT,1
8/7/2012,VT,0
8/4/2012,VT,1
8/4/2012,VT,1
7/31/2012,VT,1
7/26/2012,VT,1
7/24/2012,VT,0
7/24/2012,VT,0
7/24/2012,VT,1
7/24/2012,VT,1
7/24/2012,VT,0
7/19/2012,VT,0
7/19/2012,VT,0
7/19/2012,VT,0
7/19/2012,VT,0
7/18/2012,VT,1
7/15/2012,VT,0
7/14/2012,VT,1
7/10/2012,VT,1
7/10/2012,VT,1
7/9/2012,VT,1
7/8/2012,VT,1
7/5/2012,VT,1
7/4/2012,VT,1
7/2/2012,VT,0
7/2/2012,VT,0
7/2/2012,VT,1
6/30/2012,VT,1
6/30/2012,VT,0
6/30/2012,VT,0
6/30/2012,VT,0
6/30/2012,VT,0
6/30/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,1
6/29/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,0
6/29/2012,VT,1
6/28/2012,VT,1
6/28/2012,VT,1
6/25/2012,VT,0
6/20/2012,VT,1
6/18/2012,VT,1
6/17/2012,VT,1
6/13/2012,VT,1
6/11/2012,VT,0
6/8/2012,VT,1
6/7/2012,VT,0
5/31/2012,VT,0
5/29/2012,VT,1
5/29/2012,VT,1
5/22/2012,VT,0
5/13/2012,VT,1
5/7/2012,VT,1
5/3/2012,VT,1
5/3/2012,VT,1
5/2/2012,VT,1
5/1/2012,VT,0
4/29/2012,VT,1
4/27/2012,VT,1
4/25/2012,VT,1
4/21/2012,VT,0
4/20/2012,VT,1
4/16/2012,VT,1
4/7/2012,VT,1
4/7/2012,VT,1
4/5/2012,VT,1
4/5/2012,VT,1
3/30/2012,VT,0
3/20/2012,VT,1
3/19/2012,VT,1
3/16/2012,VT,0
3/13/2012,VT,1
3/12/2012,VT,1
3/4/2012,VT,1
3/4/2012,VT,1
3/3/2012,VT,1
2/29/2012,VT,1
2/25/2012,VT,1
2/22/2012,VT,1
2/20/2012,VT,1
2/18/2012,VT,1
2/15/2012,VT,1
2/15/2012,VT,1
2/14/2012,VT,1
2/9/2012,VT,1
1/30/2012,VT,1
1/29/2012,VT,0
1/29/2012,VT,1
1/28/2012,VT,0
1/27/2012,VT,1
1/27/2012,VT,1
1/26/2012,VT,1
1/23/2012,VT,0
1/23/2012,VT,1
1/22/2012,VT,1
1/22/2012,VT,1
1/21/2012,VT,0
1/19/2012,VT,1
1/18/2012,VT,1
1/17/2012,VT,1
1/17/2012,VT,0
1/17/2012,VT,0
1/8/2012,VT,1
1/6/2012,VT,1
