Local Date,State,Outage_status,true_result
7/2/2011,VT,0,0
7/2/2011,VT,0,0
7/2/2011,VT,1,0
6/30/2011,VT,1,0
6/30/2011,VT,1,0
6/27/2011,VT,1,0
6/21/2011,VT,1,0
6/20/2011,VT,1,0
6/18/2011,VT,1,0
6/14/2011,VT,1,0
6/12/2011,VT,1,0
6/12/2011,VT,1,0
6/11/2011,VT,1,0
6/5/2011,VT,0,0
6/4/2011,VT,1,0
6/4/2011,VT,0,0
6/3/2011,VT,1,0
6/2/2011,VT,1,0
5/29/2011,VT,1,0
5/28/2011,VT,0,0
5/25/2011,VT,1,0
5/25/2011,VT,0,0
5/25/2011,VT,0,0
5/25/2011,VT,1,0
5/25/2011,VT,1,0
5/22/2011,VT,1,0
5/21/2011,VT,0,0
4/28/2011,VT,1,0
4/27/2011,VT,0,0
4/26/2011,VT,1,0
4/19/2011,VT,0,0
4/19/2011,VT,1,0
4/15/2011,VT,0,0
3/26/2011,VT,1,0
3/18/2011,VT,0,0
3/4/2011,VT,0,0
3/4/2011,VT,0,0
2/24/2011,VT,1,0
2/23/2011,VT,1,0
2/21/2011,VT,1,0
2/2/2011,VT,0,0
2/2/2011,VT,0,0
2/1/2011,VT,0,0
2/1/2011,VT,1,0
1/27/2011,VT,0,0
1/22/2011,VT,1,0
1/22/2011,VT,1,0
12/30/2012,VT,1,0
12/29/2012,VT,0,0
12/28/2012,VT,1,0
12/28/2012,VT,1,0
12/27/2012,VT,1,0
12/26/2012,VT,1,0
12/25/2012,VT,1,0
12/25/2012,VT,1,0
12/25/2012,VT,1,0
12/25/2012,VT,1,0
12/25/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/24/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/23/2012,VT,1,0
12/21/2012,VT,1,0
12/21/2012,VT,1,0
12/21/2012,VT,1,0
12/21/2012,VT,1,0
12/21/2012,VT,1,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,0,0
12/20/2012,VT,1,0
12/20/2012,VT,1,0
12/19/2012,VT,1,0
12/19/2012,VT,0,0
12/18/2012,VT,1,0
12/11/2012,VT,1,0
12/9/2012,VT,1,0
12/1/2012,VT,1,0
12/1/2012,VT,1,0
11/30/2012,VT,0,0
11/29/2012,VT,0,0
11/29/2012,VT,0,0
11/27/2012,VT,0,0
11/27/2012,VT,1,0
11/27/2012,VT,1,0
11/26/2012,VT,1,0
11/26/2012,VT,0,0
11/19/2012,VT,1,0
11/19/2012,VT,1,0
11/18/2012,VT,1,0
11/13/2012,VT,1,0
11/11/2012,VT,0,0
11/10/2012,VT,1,0
11/9/2012,VT,0,0
11/4/2012,VT,1,0
11/3/2012,VT,0,0
11/3/2012,VT,1,0
11/2/2012,VT,0,0
10/30/2012,VT,0,0
10/30/2012,VT,1,0
10/30/2012,VT,1,0
10/29/2012,VT,0,0
10/29/2012,VT,0,0
10/29/2012,VT,0,0
10/29/2012,VT,0,0
10/29/2012,VT,0,0
10/29/2012,VT,0,0
10/29/2012,VT,1,0
10/29/2012,VT,1,0
10/28/2012,VT,1,0
10/28/2012,VT,1,0
10/27/2012,VT,1,0
10/26/2012,VT,1,0
10/24/2012,VT,1,0
10/24/2012,VT,1,0
10/24/2012,VT,0,0
10/23/2012,VT,0,0
10/22/2012,VT,1,0
10/20/2012,VT,1,0
10/19/2012,VT,1,0
10/17/2012,VT,1,0
10/17/2012,VT,1,0
10/14/2012,VT,1,0
10/12/2012,VT,1,0
10/8/2012,VT,1,0
10/8/2012,VT,1,0
10/3/2012,VT,1,0
9/26/2012,VT,0,0
9/26/2012,VT,0,0
9/26/2012,VT,0,0
9/26/2012,VT,0,0
9/26/2012,VT,0,0
9/26/2012,VT,0,0
9/25/2012,VT,0,0
9/21/2012,VT,1,0
9/16/2012,VT,0,0
9/7/2012,VT,0,0
9/7/2012,VT,1,0
9/7/2012,VT,0,0
9/7/2012,VT,1,0
9/7/2012,VT,1,0
9/7/2012,VT,1,0
9/7/2012,VT,1,0
9/6/2012,VT,1,0
9/5/2012,VT,1,0
8/30/2012,VT,1,0
8/30/2012,VT,1,0
8/30/2012,VT,1,0
8/29/2012,VT,1,0
8/29/2012,VT,1,0
8/29/2012,VT,1,0
8/29/2012,VT,1,0
8/29/2012,VT,1,0
8/28/2012,VT,1,0
8/27/2012,VT,1,0
8/27/2012,VT,1,0
8/26/2012,VT,1,0
8/23/2012,VT,1,0
8/20/2012,VT,1,0
8/16/2012,VT,0,0
8/16/2012,VT,1,0
8/12/2012,VT,0,0
8/9/2012,VT,0,0
8/9/2012,VT,1,0
8/9/2012,VT,1,0
8/7/2012,VT,0,0
8/4/2012,VT,1,0
8/4/2012,VT,1,0
7/31/2012,VT,1,0
7/26/2012,VT,1,0
7/24/2012,VT,0,0
7/24/2012,VT,0,0
7/24/2012,VT,1,0
7/24/2012,VT,1,0
7/24/2012,VT,0,0
7/19/2012,VT,0,0
7/19/2012,VT,0,0
7/19/2012,VT,0,0
7/19/2012,VT,0,0
7/18/2012,VT,1,0
7/15/2012,VT,0,0
7/14/2012,VT,1,0
7/10/2012,VT,1,0
7/10/2012,VT,1,0
7/9/2012,VT,1,0
7/8/2012,VT,1,0
7/5/2012,VT,1,0
7/4/2012,VT,1,0
7/2/2012,VT,0,0
7/2/2012,VT,0,0
7/2/2012,VT,1,0
6/30/2012,VT,1,0
6/30/2012,VT,0,0
6/30/2012,VT,0,0
6/30/2012,VT,0,0
6/30/2012,VT,0,0
6/30/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,1,0
6/29/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,0,0
6/29/2012,VT,1,0
6/28/2012,VT,1,0
6/28/2012,VT,1,0
6/25/2012,VT,0,0
6/20/2012,VT,1,0
6/18/2012,VT,1,0
6/17/2012,VT,1,0
6/13/2012,VT,1,0
6/11/2012,VT,0,0
6/8/2012,VT,1,0
6/7/2012,VT,0,0
5/31/2012,VT,0,0
5/29/2012,VT,1,0
5/29/2012,VT,1,0
5/22/2012,VT,0,0
5/13/2012,VT,1,0
5/7/2012,VT,1,0
5/3/2012,VT,1,0
5/3/2012,VT,1,0
5/2/2012,VT,1,0
5/1/2012,VT,0,0
4/29/2012,VT,1,0
4/27/2012,VT,1,0
4/25/2012,VT,1,0
4/21/2012,VT,0,0
4/20/2012,VT,1,0
4/16/2012,VT,1,0
4/7/2012,VT,1,0
4/7/2012,VT,1,0
4/5/2012,VT,1,0
4/5/2012,VT,1,0
3/30/2012,VT,0,0
3/20/2012,VT,1,0
3/19/2012,VT,1,0
3/16/2012,VT,0,0
3/13/2012,VT,1,0
3/12/2012,VT,1,0
3/4/2012,VT,1,0
3/4/2012,VT,1,0
3/3/2012,VT,1,0
2/29/2012,VT,1,0
2/25/2012,VT,1,0
2/22/2012,VT,1,0
2/20/2012,VT,1,0
2/18/2012,VT,1,0
2/15/2012,VT,1,0
2/15/2012,VT,1,0
2/14/2012,VT,1,0
2/9/2012,VT,1,0
1/30/2012,VT,1,0
1/29/2012,VT,0,0
1/29/2012,VT,1,0
1/28/2012,VT,0,0
1/27/2012,VT,1,0
1/27/2012,VT,1,0
1/26/2012,VT,1,0
1/23/2012,VT,0,0
1/23/2012,VT,1,0
1/22/2012,VT,1,0
1/22/2012,VT,1,0
1/21/2012,VT,0,0
1/19/2012,VT,1,0
1/18/2012,VT,1,0
1/17/2012,VT,1,0
1/17/2012,VT,0,0
1/17/2012,VT,0,0
1/8/2012,VT,1,0
1/6/2012,VT,1,0
