Local Date,State,Outage_status
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,1
03/23/2011,NY,1
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/23/2011,NY,0
03/22/2011,NY,0
03/22/2011,NY,0
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,1
03/22/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,0
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/21/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,0
03/20/2011,NY,1
03/20/2011,NY,0
03/20/2011,NY,0
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,0
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,1
03/20/2011,NY,0
03/19/2011,NY,1
03/19/2011,NY,0
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,0
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,1
03/19/2011,NY,0
03/19/2011,NY,0
03/19/2011,NY,0
03/19/2011,NY,0
03/19/2011,NY,1
03/19/2011,NY,0
03/19/2011,NY,1
03/19/2011,NY,0
03/19/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,1
03/18/2011,NY,0
03/18/2011,NY,0
03/18/2011,NY,1
03/18/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,0
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/17/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,0
03/16/2011,NY,0
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,0
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,0
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,1
03/16/2011,NY,0
03/16/2011,NY,1
03/16/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,0
03/15/2011,NY,0
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,0
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,0
03/15/2011,NY,1
03/15/2011,NY,1
03/15/2011,NY,0
03/15/2011,NY,0
03/15/2011,NY,0
03/15/2011,NY,1
03/15/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,0
03/14/2011,NY,0
03/14/2011,NY,0
03/14/2011,NY,0
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,0
03/14/2011,NY,1
03/14/2011,NY,1
03/14/2011,NY,0
03/14/2011,NY,1
03/14/2011,NY,0
